	RefStart	RefEnd	QStart	QEnd	RefAlndLen	QAlndLen	PctIdentity	TotRefLen	TotQLen	PctRefCovd	PctQCovd	NameRef	NameQ	is_binned	bin_membership	bin_size
158	112587	114571	1	1985	1985	1985	82.6	194454	1989	1.02	99.8	NC_013085.1	k141_2001012	True	bin.172.fa	2510569.0
159	114195	116839	1	2642	2645	2642	80.41	194454	2660	1.36	99.32	NC_013085.1	k141_1240441	True	bin.172.fa	2510569.0
160	114550	115550	1	1001	1001	1001	82.92	194454	1234	0.51	81.12	NC_013085.1	k141_1297600	True	bin.172.fa	2510569.0
161	117117	118996	3556	1675	1880	1882	81.8	194454	6982	0.97	26.96	NC_013085.1	k141_15751	True	bin.172.fa	2510569.0
162	117413	119012	2129	530	1600	1600	82.81	194454	2839	0.82	56.36	NC_013085.1	k141_2581748	True	bin.172.fa	2510569.0
163	130455	131601	1	1147	1147	1147	81.84	194454	1147	0.59	100.0	NC_013085.1	k141_701124	True	bin.172.fa	2510569.0
164	163268	164907	1640	1	1640	1640	95.61	194454	1640	0.84	100.0	NC_013085.1	k141_1110600	True	bin.172.fa	2510569.0
165	165527	166965	9140	10590	1439	1451	82.42	194454	10590	0.74	13.7	NC_013085.1	k141_494291	True	bin.172.fa	2510569.0
166	165630	166931	1122	2423	1302	1302	81.65	194454	2453	0.67	53.08	NC_013085.1	k141_430344	True	bin.172.fa	2510569.0
167	167245	168792	1554	7	1548	1548	87.23	194454	1554	0.8	99.61	NC_013085.1	k141_794411	True	bin.172.fa	2510569.0
168	172658	174060	196	1556	1403	1361	82.66	194454	1556	0.72	87.47	NC_013085.1	k141_15096	True	bin.172.fa	2510569.0
169	174122	175123	1	1002	1002	1002	91.42	194454	1002	0.52	100.0	NC_013085.1	k141_2241315	True	bin.172.fa	2510569.0
170	179577	181301	3928	2204	1725	1725	83.59	194454	4483	0.89	38.48	NC_013085.1	k141_738563	True	bin.172.fa	2510569.0
171	181839	183275	1684	248	1437	1437	85.02	194454	4483	0.74	32.05	NC_013085.1	k141_738563	True	bin.172.fa	2510569.0
172	187931	188939	3111	2107	1009	1005	82.35	194454	4580	0.52	21.94	NC_013085.1	k141_846339	True	bin.13.fa	1234222.0
173	193220	194267	2110	1063	1048	1048	85.66	194454	2120	0.54	49.43	NC_013085.1	k141_1183095	True	bin.13.fa	1234222.0
206	2689	3864	199	1376	1176	1178	85.93	46547	1383	2.53	85.18	NC_025456.1	k141_959928	True	bin.251.fa	6849688.0
207	7684	8889	1733	527	1206	1207	85.64	46547	2822	2.59	42.77	NC_025456.1	k141_286565	True	bin.27.fa	495888.0
208	22273	23434	1218	56	1162	1163	87.9	46547	1218	2.5	95.48	NC_025456.1	k141_2197697	True	bin.251.fa	6849688.0
209	23718	25402	1685	1	1685	1685	82.24	46547	1689	3.62	99.76	NC_025456.1	k141_1627913	True	bin.251.fa	6849688.0
210	27111	28546	6	1441	1436	1436	83.0	46547	1441	3.09	99.65	NC_025456.1	k141_428746	True	bin.251.fa	6849688.0
211	31720	33195	1	1476	1476	1476	85.13	46547	1476	3.17	100.0	NC_025456.1	k141_587785	True	bin.251.fa	6849688.0
212	39396	40569	1	1174	1174	1174	88.25	46547	2089	2.52	56.2	NC_025456.1	k141_2059552	True	bin.251.fa	6849688.0
214	5519	6802	1	1284	1284	1284	84.14	45871	1748	2.8	73.46	NC_025461.1	k141_465695	True	bin.236.fa	4305502.0
215	5558	6846	2341	1053	1289	1289	83.1	45871	2341	2.81	55.06	NC_025461.1	k141_699857	True	bin.104.fa	2833234.0
216	23390	24514	20	1123	1125	1104	89.69	45871	1123	2.45	98.31	NC_025461.1	k141_672627	True	bin.82.fa	2465221.0
217	25458	28126	2666	1	2669	2666	89.29	45871	3498	5.82	76.21	NC_025461.1	k141_352672	True	bin.82.fa	2465221.0
218	26288	27435	1	1145	1148	1145	84.97	45871	2275	2.5	50.33	NC_025461.1	k141_791525	True	bin.251.fa	6849688.0
219	32793	34389	944	2540	1597	1597	80.8	45871	2700	3.48	59.15	NC_025461.1	k141_1033086	True	bin.236.fa	4305502.0
220	37480	42107	809	5437	4628	4629	82.82	45871	5903	10.09	78.42	NC_025461.1	k141_7351	True	bin.15.fa	2214513.0
221	5466	6524	1063	5	1059	1059	86.72	44147	1721	2.4	61.53	NC_025464.1	k141_1948043	True	bin.236.fa	4305502.0
222	8605	9651	49	1095	1047	1047	89.41	44147	1098	2.37	95.36	NC_025464.1	k141_106593	True	bin.13.fa	1234222.0
223	10408	11661	1254	1	1254	1254	89.55	44147	2289	2.84	54.78	NC_025464.1	k141_201868	True	bin.251.fa	6849688.0
224	11281	12829	1638	3183	1549	1546	85.81	44147	3493	3.51	44.26	NC_025464.1	k141_1235061	True	bin.251.fa	6849688.0
225	11359	12785	512	1935	1427	1424	83.47	44147	1936	3.23	73.55	NC_025464.1	k141_201478	True	bin.13.fa	1234222.0
226	12933	14302	54	1403	1370	1350	83.26	44147	4179	3.1	32.3	NC_025464.1	k141_904155	True	bin.13.fa	1234222.0
301	95428	96484	1017	2073	1057	1057	85.01	194437	2392	0.54	44.19	NC_031235.1	k141_2509850	True	bin.172.fa	2510569.0
302	97436	98533	1	1098	1098	1098	84.11	194437	1148	0.56	95.64	NC_031235.1	k141_1454538	True	bin.172.fa	2510569.0
303	98354	100023	1670	1	1670	1670	95.93	194437	1670	0.86	100.0	NC_031235.1	k141_1134532	False	Unbinned	0.0
304	99889	101907	2019	1	2019	2019	84.84	194437	2019	1.04	100.0	NC_031235.1	k141_2158	True	bin.172.fa	2510569.0
305	113657	115238	4164	2583	1582	1582	80.13	194437	5853	0.81	27.03	NC_031235.1	k141_1427840	True	bin.13.fa	1234222.0
306	113674	115067	1394	1	1394	1394	83.38	194437	2468	0.72	56.48	NC_031235.1	k141_2242691	True	bin.46.fa	1673023.0
307	121009	122294	7	1286	1286	1280	81.02	194437	1286	0.66	99.53	NC_031235.1	k141_12540	True	bin.251.fa	6849688.0
308	160882	161995	1114	1	1114	1114	85.28	194437	1114	0.57	100.0	NC_031235.1	k141_1757208	True	bin.172.fa	2510569.0
309	172179	173898	17	1736	1720	1720	88.39	194437	1736	0.88	99.08	NC_031235.1	k141_971000	True	bin.172.fa	2510569.0
310	178383	179684	1311	1	1302	1311	87.34	194437	1937	0.67	67.68	NC_031235.1	k141_295601	True	bin.172.fa	2510569.0
311	1	1007	3517	4523	1007	1007	99.4	174307	4523	0.58	22.26	NC_031242.1	k141_1898292	True	bin.46.fa	1673023.0
312	1595	3726	2337	209	2132	2129	98.08	174307	2337	1.22	91.1	NC_031242.1	k141_1462612	True	bin.172.fa	2510569.0
313	3967	6459	1	2493	2493	2493	99.08	174307	5143	1.43	48.47	NC_031242.1	k141_563022	True	bin.70.fa	1732781.0
314	6642	9118	2689	5143	2477	2455	97.01	174307	5143	1.42	47.73	NC_031242.1	k141_563022	True	bin.70.fa	1732781.0
315	10134	11427	1288	1	1294	1288	98.45	174307	1288	0.74	100.0	NC_031242.1	k141_2149283	True	bin.172.fa	2510569.0
316	11205	12767	1	1563	1563	1563	96.55	174307	1563	0.9	100.0	NC_031242.1	k141_2004211	True	bin.132.fa	4909300.0
317	13608	18123	497	5010	4516	4514	97.87	174307	5094	2.59	88.61	NC_031242.1	k141_1591778	True	bin.172.fa	2510569.0
318	18377	23201	4936	112	4825	4825	98.49	174307	4936	2.77	97.75	NC_031242.1	k141_877472	True	bin.99.fa	5409814.0
319	23163	25729	1	2567	2567	2567	98.95	174307	2567	1.47	100.0	NC_031242.1	k141_1761540	True	bin.172.fa	2510569.0
320	25903	27428	1526	1	1526	1526	99.41	174307	1526	0.88	100.0	NC_031242.1	k141_2240994	True	bin.172.fa	2510569.0
321	27723	29653	1931	1	1931	1931	98.55	174307	1931	1.11	100.0	NC_031242.1	k141_1382124	True	bin.135.fa	6861030.0
322	29649	31663	3	2018	2015	2016	97.72	174307	2018	1.16	99.9	NC_031242.1	k141_1030124	True	bin.135.fa	6861030.0
323	31669	32887	1219	1	1219	1219	99.1	174307	1219	0.7	100.0	NC_031242.1	k141_1140817	True	bin.74.fa	2803065.0
324	32829	38946	6118	1	6118	6118	99.22	174307	6118	3.51	100.0	NC_031242.1	k141_925286	True	bin.46.fa	1673023.0
325	39382	40629	1	1248	1248	1248	98.16	174307	1248	0.72	100.0	NC_031242.1	k141_510803	True	bin.251.fa	6849688.0
326	40607	42514	1033	2945	1908	1913	92.55	174307	5081	1.09	37.65	NC_031242.1	k141_1693548	True	bin.46.fa	1673023.0
327	42717	44008	3088	4379	1292	1292	97.29	174307	5081	0.74	25.43	NC_031242.1	k141_1693548	True	bin.46.fa	1673023.0
328	44715	53700	8982	1	8986	8982	97.86	174307	8982	5.16	100.0	NC_031242.1	k141_848790	True	bin.141.fa	2210861.0
329	53284	54906	1	1623	1623	1623	98.27	174307	1623	0.93	100.0	NC_031242.1	k141_1649705	True	bin.222.fa	8038844.0
330	55741	59327	3587	1	3587	3587	99.61	174307	3587	2.06	100.0	NC_031242.1	k141_893939	True	bin.222.fa	8038844.0
331	59297	60938	1	1642	1642	1642	99.45	174307	1642	0.94	100.0	NC_031242.1	k141_2180616	True	bin.222.fa	8038844.0
332	61576	63546	1	1971	1971	1971	99.29	174307	2429	1.13	81.14	NC_031242.1	k141_46028	True	bin.172.fa	2510569.0
333	63451	65230	1780	1	1780	1780	98.15	174307	1780	1.02	100.0	NC_031242.1	k141_1620119	True	bin.135.fa	6861030.0
334	65181	74943	1	9763	9763	9763	99.44	174307	9763	5.6	100.0	NC_031242.1	k141_1028171	True	bin.172.fa	2510569.0
335	75489	77686	2198	1	2198	2198	97.82	174307	2204	1.26	99.73	NC_031242.1	k141_257881	True	bin.172.fa	2510569.0
336	77546	83417	5872	1	5872	5872	99.01	174307	5872	3.37	100.0	NC_031242.1	k141_2040858	True	bin.172.fa	2510569.0
337	83643	86914	3	3274	3272	3272	98.62	174307	3275	1.88	99.91	NC_031242.1	k141_1660692	True	bin.172.fa	2510569.0
338	86903	88308	1	1406	1406	1406	99.22	174307	1406	0.81	100.0	NC_031242.1	k141_514626	True	bin.172.fa	2510569.0
339	88289	90586	2298	1	2298	2298	95.39	174307	2298	1.32	100.0	NC_031242.1	k141_1807681	True	bin.135.fa	6861030.0
340	90352	91811	1457	1	1460	1457	87.24	174307	1457	0.84	100.0	NC_031242.1	k141_650610	False	Unbinned	0.0
341	96855	98656	762	2564	1802	1803	98.95	174307	2564	1.03	70.32	NC_031242.1	k141_1314794	True	bin.141.fa	2210861.0
342	100257	101258	1854	2855	1002	1002	86.95	174307	4843	0.57	20.69	NC_031242.1	k141_1389019	True	bin.184.fa	4231301.0
343	101308	102634	220	1549	1327	1330	94.75	174307	1991	0.76	66.8	NC_031242.1	k141_2432879	True	bin.141.fa	2210861.0
344	104060	106097	2038	1	2038	2038	96.57	174307	2038	1.17	100.0	NC_031242.1	k141_2378339	True	bin.46.fa	1673023.0
345	106117	109169	3053	1	3053	3053	99.41	174307	3053	1.75	100.0	NC_031242.1	k141_1991686	True	bin.46.fa	1673023.0
346	109222	112652	3428	1	3431	3428	99.07	174307	3428	1.97	100.0	NC_031242.1	k141_1516852	False	Unbinned	0.0
347	113438	114976	86	1624	1539	1539	99.42	174307	1624	0.88	94.77	NC_031242.1	k141_503065	True	bin.46.fa	1673023.0
348	114995	118615	1	3621	3621	3621	99.45	174307	3621	2.08	100.0	NC_031242.1	k141_570757	True	bin.70.fa	1732781.0
349	121216	123686	2613	143	2471	2471	97.9	174307	2613	1.42	94.57	NC_031242.1	k141_2456734	True	bin.104.fa	2833234.0
350	123634	125522	1	1889	1889	1889	97.51	174307	1889	1.08	100.0	NC_031242.1	k141_2533659	True	bin.46.fa	1673023.0
351	125384	128204	1	2821	2821	2821	97.34	174307	2821	1.62	100.0	NC_031242.1	k141_1460558	True	bin.251.fa	6849688.0
352	128664	130292	1640	12	1629	1629	98.77	174307	1640	0.93	99.33	NC_031242.1	k141_2552932	True	bin.46.fa	1673023.0
353	130713	131973	180	1437	1261	1258	86.88	174307	1449	0.72	86.82	NC_031242.1	k141_414823	True	bin.46.fa	1673023.0
354	135526	136697	1172	1	1172	1172	99.23	174307	1220	0.67	96.07	NC_031242.1	k141_1735968	True	bin.46.fa	1673023.0
355	136602	138367	1	1766	1766	1766	99.32	174307	1766	1.01	100.0	NC_031242.1	k141_1196645	True	bin.46.fa	1673023.0
356	140034	141116	1080	1	1083	1080	96.03	174307	1080	0.62	100.0	NC_031242.1	k141_2318796	True	bin.46.fa	1673023.0
357	142130	143660	1531	1	1531	1531	98.17	174307	1531	0.88	100.0	NC_031242.1	k141_859186	True	bin.104.fa	2833234.0
358	144090	147071	1	2982	2982	2982	99.36	174307	2982	1.71	100.0	NC_031242.1	k141_1371896	True	bin.141.fa	2210861.0
359	148225	149727	1678	173	1503	1506	98.94	174307	2713	0.86	55.51	NC_031242.1	k141_331009	True	bin.104.fa	2833234.0
360	150124	152274	1	2147	2151	2147	97.96	174307	2155	1.23	99.63	NC_031242.1	k141_1043715	True	bin.204.fa	1371510.0
361	152394	154410	2017	1	2017	2017	97.92	174307	2020	1.16	99.85	NC_031242.1	k141_13020	True	bin.46.fa	1673023.0
362	154467	155553	1087	1	1087	1087	99.54	174307	1088	0.62	99.91	NC_031242.1	k141_1122657	True	bin.46.fa	1673023.0
363	155727	157049	1	1323	1323	1323	99.24	174307	1325	0.76	99.85	NC_031242.1	k141_917205	True	bin.46.fa	1673023.0
364	157733	159506	6	1783	1774	1778	97.98	174307	1783	1.02	99.72	NC_031242.1	k141_522621	True	bin.46.fa	1673023.0
365	159557	160987	1643	211	1431	1433	98.33	174307	1643	0.82	87.22	NC_031242.1	k141_733347	True	bin.46.fa	1673023.0
366	160965	162031	6	1072	1067	1067	97.56	174307	1081	0.61	98.7	NC_031242.1	k141_1607163	True	bin.46.fa	1673023.0
367	162580	164110	1	1569	1531	1569	91.66	174307	1569	0.88	100.0	NC_031242.1	k141_1650963	False	Unbinned	0.0
368	165860	168678	1	2819	2819	2819	98.97	174307	2820	1.62	99.96	NC_031242.1	k141_308794	True	bin.172.fa	2510569.0
369	169020	170411	1392	1	1392	1392	98.28	174307	1392	0.8	100.0	NC_031242.1	k141_1141762	True	bin.46.fa	1673023.0
370	170791	174307	1	3516	3517	3516	97.81	174307	4523	2.02	77.74	NC_031242.1	k141_1898292	True	bin.46.fa	1673023.0
395	45960	47497	1544	1	1538	1544	95.08	186386	1592	0.83	96.98	NC_031935.1	k141_2377916	True	bin.251.fa	6849688.0
396	58323	60037	152	1875	1715	1724	83.91	186386	2616	0.92	65.9	NC_031935.1	k141_2431569	True	bin.172.fa	2510569.0
397	72599	74608	1167	3178	2010	2012	80.24	186386	6982	1.08	28.82	NC_031935.1	k141_15751	True	bin.172.fa	2510569.0
398	100211	101301	1091	1	1091	1091	87.45	186386	1091	0.59	100.0	NC_031935.1	k141_1222051	True	bin.172.fa	2510569.0
399	101636	102805	1	1179	1170	1179	90.76	186386	1875	0.63	62.88	NC_031935.1	k141_542331	True	bin.172.fa	2510569.0
400	108578	109826	1329	81	1249	1249	85.77	186386	1329	0.67	93.98	NC_031935.1	k141_744409	True	bin.13.fa	1234222.0
401	109397	110620	10	1230	1224	1221	83.42	186386	1408	0.66	86.72	NC_031935.1	k141_2370138	True	bin.46.fa	1673023.0
402	109640	111008	1373	8	1369	1366	86.54	186386	1374	0.73	99.42	NC_031935.1	k141_84077	True	bin.172.fa	2510569.0
403	111595	113360	9	1776	1766	1768	84.89	186386	1784	0.95	99.1	NC_031935.1	k141_1448137	True	bin.13.fa	1234222.0
404	118697	119751	1054	1	1055	1054	86.97	186386	1054	0.57	100.0	NC_031935.1	k141_2321477	True	bin.70.fa	1732781.0
405	119313	122705	4504	7897	3393	3394	82.52	186386	14736	1.82	23.03	NC_031935.1	k141_1186280	True	bin.13.fa	1234222.0
406	121321	122325	1	1008	1005	1008	89.42	186386	1008	0.54	100.0	NC_031935.1	k141_584338	True	bin.46.fa	1673023.0
407	122668	123778	1118	1	1111	1118	90.99	186386	1146	0.6	97.56	NC_031935.1	k141_1384904	True	bin.46.fa	1673023.0
408	127956	129650	296	1988	1695	1693	85.79	186386	2348	0.91	72.1	NC_031935.1	k141_2049931	True	bin.251.fa	6849688.0
409	130915	132234	1320	1	1320	1320	83.84	186386	1399	0.71	94.35	NC_031935.1	k141_1304620	True	bin.13.fa	1234222.0
410	151935	152977	4861	3819	1043	1043	82.82	186386	9837	0.56	10.6	NC_031935.1	k141_710678	True	bin.25.fa	196612.0
411	153576	154975	7	1403	1400	1397	84.25	186386	1406	0.75	99.36	NC_031935.1	k141_637058	True	bin.13.fa	1234222.0
412	164091	165292	1920	719	1202	1202	95.43	186386	1920	0.64	62.6	NC_031935.1	k141_1080813	True	bin.172.fa	2510569.0
413	173696	174751	263	1318	1056	1056	82.63	186386	1942	0.57	54.38	NC_031935.1	k141_847483	True	bin.172.fa	2510569.0
414	174627	175682	1146	117	1056	1030	88.86	186386	1157	0.57	89.02	NC_031935.1	k141_2102566	True	bin.251.fa	6849688.0
415	180695	181779	1084	1	1085	1084	87.74	186386	1610	0.58	67.33	NC_031935.1	k141_862869	True	bin.46.fa	1673023.0
416	185098	186264	1	1167	1167	1167	87.76	186386	1167	0.63	100.0	NC_031935.1	k141_210623	True	bin.46.fa	1673023.0
419	23315	24737	1060	2480	1423	1421	85.13	185102	2480	0.77	57.3	NC_031944.1	k141_1390693	True	bin.236.fa	4305502.0
420	23315	25475	2159	1	2161	2159	84.66	185102	6930	1.17	31.15	NC_031944.1	k141_311869	True	bin.172.fa	2510569.0
421	23691	24904	58	1268	1214	1211	81.99	185102	1271	0.66	95.28	NC_031944.1	k141_708161	True	bin.13.fa	1234222.0
422	23727	24887	15786	14626	1161	1161	79.25	185102	53347	0.63	2.18	NC_031944.1	k141_634327	True	bin.25.fa	196612.0
423	29563	31304	1497	3242	1742	1746	79.85	185102	11127	0.94	15.69	NC_031944.1	k141_32274	True	bin.236.fa	4305502.0
424	67529	69224	1861	166	1696	1696	80.46	185102	8087	0.92	20.97	NC_031944.1	k141_613665	True	bin.236.fa	4305502.0
425	83973	85985	5636	7646	2013	2011	85.01	185102	21772	1.09	9.24	NC_031944.1	k141_207600	True	bin.236.fa	4305502.0
426	83973	85484	1513	1	1512	1513	86.13	185102	7148	0.82	21.17	NC_031944.1	k141_539650	True	bin.236.fa	4305502.0
427	94205	95640	5220	3785	1436	1436	84.51	185102	13797	0.78	10.41	NC_031944.1	k141_120458	True	bin.172.fa	2510569.0
428	114923	115972	74	1123	1050	1050	84.05	185102	1123	0.57	93.5	NC_031944.1	k141_811634	True	bin.236.fa	4305502.0
429	118541	119901	2615	3984	1361	1370	84.53	185102	4513	0.74	30.36	NC_031944.1	k141_1145336	True	bin.173.fa	1222835.0
430	118637	119900	72861	74118	1264	1258	85.16	185102	106003	0.68	1.19	NC_031944.1	k141_1096269	True	bin.25.fa	196612.0
431	165434	166445	1	1012	1012	1012	81.41	185102	3036	0.55	33.33	NC_031944.1	k141_790246	True	bin.236.fa	4305502.0
432	169336	170376	711	1751	1041	1041	84.66	185102	2222	0.56	46.85	NC_031944.1	k141_636460	True	bin.251.fa	6849688.0
