/scratch/users/karoraw1@jhu.edu/Processed_data_group/SERC_051717_Shotgun_Metagenomes/Virus_Coverage/viral_genomes.fasta /scratch/users/karoraw1@jhu.edu/Processed_data_group/SERC_051717_Shotgun_Metagenomes/CoAssembly/final.contigs.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[NAME R]	[NAME Q]
34804	37312	19326	21829	2509	2504	97.41	44082	23225	5.69	10.78	NC_004740.1	k141_1058942
5838	7326	1	1489	1489	1489	99.46	57930	7901	2.57	18.85	NC_004813.1	k141_1218412
23644	24698	1587	2641	1055	1055	95.26	57930	2641	1.82	39.95	NC_004813.1	k141_981679
29223	32258	3036	1	3036	3036	97.63	57930	3323	5.24	91.36	NC_004813.1	k141_1120090
32001	33004	1	1004	1004	1004	92.03	57930	1126	1.73	89.17	NC_004813.1	k141_92156
33945	35070	1126	1	1126	1126	95.20	57930	1775	1.94	63.44	NC_004813.1	k141_214057
34191	38190	8	4002	4000	3995	97.98	57930	4002	6.90	99.83	NC_004813.1	k141_918607
41329	42715	553	1939	1387	1387	94.16	57930	1939	2.39	71.53	NC_004813.1	k141_1860614
45506	46718	1	1212	1213	1212	94.81	57930	1718	2.09	70.55	NC_004813.1	k141_1472148
53629	54800	6137	4954	1172	1184	89.63	57930	6832	2.02	17.33	NC_004813.1	k141_175328
54821	55841	4990	3974	1021	1017	94.91	57930	6832	1.76	14.89	NC_004813.1	k141_175328
56237	57292	1056	1	1056	1056	99.62	62706	1056	1.68	100.00	NC_004914.3	k141_459629
32882	34128	27807	26558	1247	1250	90.65	39043	29560	3.19	4.23	NC_005344.1	k141_1871654
35490	37673	21659	19476	2184	2184	96.11	39043	27453	5.59	7.96	NC_005344.1	k141_1599327
1	17430	2280	19711	17430	17432	97.67	41708	23225	41.79	75.06	NC_005356.1	k141_1058942
34542	36163	2878	4499	1622	1622	96.37	41708	4499	3.89	36.05	NC_005356.1	k141_860681
3044	4501	81508	82965	1458	1458	98.15	41391	93446	3.52	1.56	NC_005841.1	k141_1167761
15119	16470	1492	140	1352	1353	95.57	39166	3679	3.45	36.78	NC_005893.1	k141_2551424
2406	3811	43749	42344	1406	1406	95.24	65195	56476	2.16	2.49	NC_006552.1	k141_1670041
79381	80965	3	1594	1585	1592	86.05	196280	1598	0.81	99.62	NC_006820.1	k141_796263
79547	80965	10986	9568	1419	1419	86.30	196280	15582	0.72	9.11	NC_006820.1	k141_15937
103021	104681	13399	15052	1661	1654	83.47	196280	17211	0.85	9.61	NC_006820.1	k141_85515
112184	113531	1	1351	1348	1351	82.82	196280	1356	0.69	99.63	NC_006820.1	k141_895392
135190	136324	1283	2416	1135	1134	82.56	196280	2419	0.58	46.88	NC_006820.1	k141_159279
137820	138882	4573	5635	1063	1063	89.66	196280	8952	0.54	11.87	NC_006820.1	k141_149807
137840	138859	1774	755	1020	1020	83.38	196280	2102	0.52	48.53	NC_006820.1	k141_584797
26342	27802	81508	82968	1461	1461	95.28	46900	93446	3.12	1.56	NC_006949.1	k141_1167761
37867	41274	27453	24046	3408	3408	93.37	46900	27453	7.27	12.41	NC_006949.1	k141_1599327
691	2172	14624	16105	1482	1482	96.63	15603	16189	9.50	9.15	NC_007045.1	k141_859628
6803	8687	6825	8709	1885	1885	99.05	15603	16189	12.08	11.64	NC_007045.1	k141_859628
14081	15600	12358	13790	1520	1433	89.87	15603	16189	9.74	8.85	NC_007045.1	k141_859628
21804	23002	1307	109	1199	1199	99.67	39620	57630	3.03	2.08	NC_007047.1	k141_507816
40881	42211	940	2270	1331	1331	97.67	42732	27401	3.11	4.86	NC_007048.1	k141_982663
18076	20061	20846	22831	1986	1986	97.99	43576	27401	4.56	7.25	NC_007057.1	k141_982663
4429	19112	7683	22366	14684	14684	96.62	43114	27401	34.06	53.59	NC_007059.1	k141_982663
31399	33219	1	1820	1821	1820	98.13	43114	4368	4.22	41.67	NC_007059.1	k141_636580
35456	38710	21	3275	3255	3255	97.67	43114	4499	7.55	72.35	NC_007059.1	k141_860681
1	3837	2987	6823	3837	3837	98.72	42802	27401	8.96	14.00	NC_007061.1	k141_982663
36538	39081	705	3245	2544	2541	98.47	41690	4482	6.10	56.69	NC_007062.1	k141_1459921
9333	15962	16639	10012	6630	6628	95.20	39199	53414	16.91	12.41	NC_007805.1	k141_1209211
17442	20467	8520	5497	3026	3024	92.37	39199	53414	7.72	5.66	NC_007805.1	k141_1209211
20459	21941	45488	44006	1483	1483	97.03	39199	53414	3.78	2.78	NC_007805.1	k141_1209211
21941	22945	43732	42728	1005	1005	95.53	39199	53414	2.56	1.88	NC_007805.1	k141_1209211
23997	25850	41714	39861	1854	1854	96.82	39199	53414	4.73	3.47	NC_007805.1	k141_1209211
28494	29810	35688	34372	1317	1317	93.02	39199	53414	3.36	2.47	NC_007805.1	k141_1209211
31418	34016	32669	30071	2599	2599	97.15	39199	53414	6.63	4.87	NC_007805.1	k141_1209211
36112	39198	28826	25741	3087	3086	96.76	39199	53414	7.88	5.78	NC_007805.1	k141_1209211
2697	4320	581	2203	1624	1623	91.76	60238	2641	2.70	61.45	NC_008464.1	k141_981679
2324	3457	7836	8968	1134	1133	99.65	43128	11278	2.63	10.05	NC_008583.1	k141_1424657
37287	38685	21827	23225	1399	1399	98.93	44061	23225	3.18	6.02	NC_008617.1	k141_1058942
40760	41901	17065	15919	1142	1147	97.21	44857	17065	2.55	6.72	NC_008689.1	k141_1531434
37887	40255	24919	27288	2369	2370	95.61	43265	27401	5.48	8.65	NC_008798.1	k141_982663
1684	13552	11880	1	11869	11880	97.71	47021	16103	25.24	73.78	NC_009514.1	k141_2052533
18096	20035	1	1939	1940	1939	92.39	47021	1939	4.13	100.00	NC_009514.1	k141_2155920
19940	21004	1	1065	1065	1065	93.90	47021	1162	2.26	91.65	NC_009514.1	k141_2455925
20888	21960	2794	1692	1073	1103	86.78	47021	6832	2.28	16.14	NC_009514.1	k141_175328
4270	5323	1346	295	1054	1052	98.20	42232	4978	2.50	21.13	NC_009761.3	k141_1391786
1	1935	95698	93764	1935	1935	97.83	47785	116396	4.05	1.66	NC_009762.3	k141_2443248
1	1970	5041	7010	1970	1970	99.04	42973	11278	4.58	17.47	NC_009763.3	k141_1424657
37303	38361	1059	1	1059	1059	99.91	42973	1059	2.46	100.00	NC_009763.3	k141_633602
41627	42973	88	1434	1347	1347	99.03	42973	14632	3.13	9.21	NC_009763.3	k141_695359
13648	20886	84272	77041	7239	7232	91.32	38867	444891	18.63	1.63	NC_009810.1	k141_597702
26361	27455	112306	111212	1095	1095	89.42	38867	444891	2.82	0.25	NC_009810.1	k141_597702
14252	15396	1	1145	1145	1145	97.55	43011	27401	2.66	4.18	NC_010147.1	k141_982663
1	2296	27016	24690	2296	2327	97.51	48491	60683	4.73	3.83	NC_010392.1	k141_1316283
9521	14958	6249	811	5438	5439	98.29	48491	6249	11.21	87.04	NC_010392.1	k141_1232742
15682	19638	74762	70806	3957	3957	99.49	48491	74762	8.16	5.29	NC_010392.1	k141_2511612
15682	17360	11665	10041	1679	1625	87.30	48491	11665	3.46	13.93	NC_010392.1	k141_465535
19656	20928	70213	68944	1273	1270	97.96	48491	74762	2.63	1.70	NC_010392.1	k141_2511612
21516	29672	68978	60822	8157	8157	99.09	48491	74762	16.82	10.91	NC_010392.1	k141_2511612
35072	36585	1514	1	1514	1514	98.28	48491	1514	3.12	100.00	NC_010392.1	k141_2122636
38180	40767	1393	3919	2588	2527	95.21	48491	4948	5.34	51.07	NC_010392.1	k141_1061056
41631	44002	73	2444	2372	2372	99.45	48491	5265	4.89	45.05	NC_010392.1	k141_1051676
43986	46781	2470	5265	2796	2796	99.68	48491	5265	5.77	53.11	NC_010392.1	k141_1051676
46641	48491	1	1851	1851	1851	99.89	48491	7760	3.82	23.85	NC_010392.1	k141_2134135
1	1760	1756	1	1760	1756	99.32	45840	21601	3.84	8.13	NC_010393.1	k141_1627108
14642	15889	1248	1	1248	1248	98.96	45840	2593	2.72	48.13	NC_010393.1	k141_120993
15749	21884	1	6136	6136	6136	99.51	45840	11665	13.39	52.60	NC_010393.1	k141_465535
24164	28831	6118	10785	4668	4668	99.87	45840	11665	10.18	40.02	NC_010393.1	k141_465535
29784	37315	1	7517	7532	7517	99.56	45840	7517	16.43	100.00	NC_010393.1	k141_1469305
37175	42104	4930	1	4930	4930	99.49	45840	4930	10.75	100.00	NC_010393.1	k141_532954
41964	45840	1	3876	3877	3876	99.74	45840	21921	8.46	17.68	NC_010393.1	k141_1464344
7707	9109	22866	24268	1403	1403	96.01	33693	60683	4.16	2.31	NC_010463.1	k141_1316283
1	4800	83722	88521	4800	4800	99.79	54896	88521	8.74	5.42	NC_011356.1	k141_1751678
21970	23478	1	1509	1509	1509	99.07	54896	2641	2.75	57.14	NC_011356.1	k141_981679
27084	28841	1	1758	1758	1758	96.13	54896	1758	3.20	100.00	NC_011356.1	k141_830790
28701	30053	1	1353	1353	1353	95.79	54896	1353	2.46	100.00	NC_011356.1	k141_992885
29425	32457	3033	1	3033	3033	98.78	54896	3323	5.52	91.27	NC_011356.1	k141_1120090
37804	39310	1	1507	1507	1507	97.74	54896	1507	2.75	100.00	NC_011356.1	k141_335412
40158	41640	1483	1	1483	1483	97.04	54896	1483	2.70	100.00	NC_011356.1	k141_329972
46894	48387	1	1494	1494	1494	99.87	54896	1494	2.72	100.00	NC_011356.1	k141_2423217
51266	52570	1308	4	1305	1305	96.78	54896	1308	2.38	99.77	NC_011356.1	k141_1240232
52520	54896	1	2377	2377	2377	99.96	54896	11792	4.33	20.16	NC_011356.1	k141_104277
52922	54896	45205	43230	1975	1976	81.15	54896	76589	3.60	2.58	NC_011356.1	k141_1716712
14948	17317	2370	1	2370	2370	99.96	62147	2370	3.81	100.00	NC_011357.1	k141_2521080
22443	23577	1	1135	1135	1135	98.68	62147	1196	1.83	94.90	NC_011357.1	k141_1534328
39627	40652	1775	750	1026	1026	92.20	62147	1775	1.65	57.80	NC_011357.1	k141_214057
53234	54653	2469	1053	1420	1417	90.93	62147	2469	2.28	57.39	NC_011357.1	k141_2523595
58738	59756	506	1524	1019	1019	99.51	62147	2674	1.64	38.11	NC_011357.1	k141_1398731
60532	62147	20337	21952	1616	1616	100.00	62147	25844	2.60	6.25	NC_011357.1	k141_2480972
36520	38839	6352	4032	2320	2321	99.10	41941	27453	5.53	8.45	NC_011802.1	k141_1599327
3285	4534	1700	2930	1250	1231	91.52	74611	7502	1.68	16.41	NC_012697.1	k141_2057002
495	1532	1067	27	1038	1041	83.88	194454	2120	0.53	49.10	NC_013085.1	k141_1183095
1753	3570	1897	85	1818	1813	87.68	194454	1897	0.93	95.57	NC_013085.1	k141_2089163
7703	8770	1	1068	1068	1068	83.29	194454	5591	0.55	19.10	NC_013085.1	k141_1694416
11234	12905	1942	268	1672	1675	81.00	194454	1942	0.86	86.25	NC_013085.1	k141_847483
34040	35084	146	1181	1045	1036	82.00	194454	1200	0.54	86.33	NC_013085.1	k141_2339261
34361	35734	1	1374	1374	1374	90.43	194454	1434	0.71	95.82	NC_013085.1	k141_672053
35176	36296	4171	5294	1121	1124	80.28	194454	5295	0.58	21.23	NC_013085.1	k141_907957
35979	37344	1366	1	1366	1366	92.11	194454	1366	0.70	100.00	NC_013085.1	k141_1095621
42023	43127	1105	1	1105	1105	91.61	194454	1135	0.57	97.36	NC_013085.1	k141_2340286
42543	44373	1	1831	1831	1831	90.25	194454	1831	0.94	100.00	NC_013085.1	k141_880205
46906	47953	1045	1	1048	1045	87.25	194454	1045	0.54	100.00	NC_013085.1	k141_243037
47872	49934	2092	36	2063	2057	83.51	194454	4279	1.06	48.07	NC_013085.1	k141_415128
49230	50566	1337	1	1337	1337	95.89	194454	1337	0.69	100.00	NC_013085.1	k141_931864
51190	52744	4	1551	1555	1548	83.02	194454	2301	0.80	67.28	NC_013085.1	k141_232410
58637	59784	1226	82	1148	1145	79.62	194454	1232	0.59	92.94	NC_013085.1	k141_270491
60001	63660	10927	7268	3660	3660	82.49	194454	14736	1.88	24.84	NC_013085.1	k141_1186280
63831	66774	7096	4153	2944	2944	83.45	194454	14736	1.51	19.98	NC_013085.1	k141_1186280
64898	65951	1054	1	1054	1054	88.63	194454	1054	0.54	100.00	NC_013085.1	k141_1151479
67170	68303	1137	1	1134	1137	84.07	194454	1230	0.58	92.44	NC_013085.1	k141_1919425
67725	68770	3726	2687	1046	1040	86.50	194454	14736	0.54	7.06	NC_013085.1	k141_1186280
68894	69990	2506	1414	1097	1093	86.26	194454	14736	0.56	7.42	NC_013085.1	k141_1186280
70241	71381	1154	10	1141	1145	83.38	194454	14736	0.59	7.77	NC_013085.1	k141_1186280
70464	71861	1	1398	1398	1398	88.41	194454	1398	0.72	100.00	NC_013085.1	k141_2172369
72952	74898	1950	6	1947	1945	87.76	194454	1959	1.00	99.29	NC_013085.1	k141_1481169
72952	75411	10	2478	2460	2469	86.54	194454	2483	1.27	99.44	NC_013085.1	k141_1487713
76415	77601	1211	25	1187	1187	90.33	194454	1214	0.61	97.78	NC_013085.1	k141_822417
112587	114571	1	1985	1985	1985	82.60	194454	1989	1.02	99.80	NC_013085.1	k141_2001012
114195	116839	1	2642	2645	2642	80.41	194454	2660	1.36	99.32	NC_013085.1	k141_1240441
114550	115550	1	1001	1001	1001	82.92	194454	1234	0.51	81.12	NC_013085.1	k141_1297600
117117	118996	3556	1675	1880	1882	81.80	194454	6982	0.97	26.96	NC_013085.1	k141_15751
117413	119012	2129	530	1600	1600	82.81	194454	2839	0.82	56.36	NC_013085.1	k141_2581748
130455	131601	1	1147	1147	1147	81.84	194454	1147	0.59	100.00	NC_013085.1	k141_701124
163268	164907	1640	1	1640	1640	95.61	194454	1640	0.84	100.00	NC_013085.1	k141_1110600
165527	166965	9140	10590	1439	1451	82.42	194454	10590	0.74	13.70	NC_013085.1	k141_494291
165630	166931	1122	2423	1302	1302	81.65	194454	2453	0.67	53.08	NC_013085.1	k141_430344
167245	168792	1554	7	1548	1548	87.23	194454	1554	0.80	99.61	NC_013085.1	k141_794411
172658	174060	196	1556	1403	1361	82.66	194454	1556	0.72	87.47	NC_013085.1	k141_15096
174122	175123	1	1002	1002	1002	91.42	194454	1002	0.52	100.00	NC_013085.1	k141_2241315
179577	181301	3928	2204	1725	1725	83.59	194454	4483	0.89	38.48	NC_013085.1	k141_738563
181839	183275	1684	248	1437	1437	85.02	194454	4483	0.74	32.05	NC_013085.1	k141_738563
187931	188939	3111	2107	1009	1005	82.35	194454	4580	0.52	21.94	NC_013085.1	k141_846339
193220	194267	2110	1063	1048	1048	85.66	194454	2120	0.54	49.43	NC_013085.1	k141_1183095
98695	99699	1012	8	1005	1005	91.74	191761	1012	0.52	99.31	NC_013288.1	k141_1582904
113073	114964	8	1896	1892	1889	84.72	191761	1896	0.99	99.63	NC_013288.1	k141_1241950
1754	2798	1	1045	1045	1045	96.46	40128	1045	2.60	100.00	NC_017985.1	k141_2148601
23596	26060	18007	15543	2465	2465	92.17	40128	27453	6.14	8.98	NC_017985.1	k141_1599327
32752	34623	8852	6981	1872	1872	92.31	40128	27453	4.67	6.82	NC_017985.1	k141_1599327
16312	17452	3571	2428	1141	1144	83.41	35700	3596	3.20	31.81	NC_018271.1	k141_42495
26339	27680	88591	89930	1342	1340	92.33	39783	93446	3.37	1.43	NC_018275.1	k141_1167761
24010	25936	2590	4515	1927	1926	84.84	49116	35548	3.92	5.42	NC_018279.1	k141_1274067
13792	15122	1999	669	1331	1331	84.45	38889	1999	3.42	66.58	NC_018280.1	k141_870236
2938	4500	1061	2620	1563	1560	82.69	34892	3312	4.48	47.10	NC_020481.1	k141_904071
3399	4727	639	1964	1329	1326	86.63	42084	1980	3.16	66.97	NC_020483.1	k141_171584
4808	8934	4	4102	4127	4099	85.38	42084	7336	9.81	55.88	NC_020483.1	k141_1248979
9073	12100	4303	7333	3028	3031	86.78	42084	7336	7.20	41.32	NC_020483.1	k141_1248979
11832	13995	4574	2418	2164	2157	83.65	42084	4575	5.14	47.15	NC_020483.1	k141_542134
14209	15956	1867	120	1748	1748	87.94	42084	4575	4.15	38.21	NC_020483.1	k141_542134
16032	19217	208	3400	3186	3193	88.90	42084	3948	7.57	80.88	NC_020483.1	k141_1463716
19926	23175	3252	2	3250	3251	88.48	42084	3474	7.72	93.58	NC_020483.1	k141_212676
23204	25532	1	2336	2329	2336	86.36	42084	2896	5.53	80.66	NC_020483.1	k141_1064506
39645	41154	439	1948	1510	1510	89.94	42084	1948	3.59	77.52	NC_020483.1	k141_185482
101189	102448	1594	2853	1260	1260	88.03	175430	5997	0.72	21.01	NC_020859.1	k141_512601
6115	8785	1	2671	2671	2671	99.25	43458	2779	6.15	96.11	NC_021773.2	k141_2124850
14541	15715	1635	2809	1175	1175	89.79	33628	2894	3.49	40.60	NC_022750.1	k141_680447
37396	38445	1	1050	1050	1050	96.29	44459	23225	2.36	4.52	NC_022758.1	k141_1058942
34256	35560	1302	1	1305	1302	81.93	75028	2482	1.74	52.46	NC_024367.1	k141_2180277
8418	19864	97919	86473	11447	11447	98.33	41156	444891	27.81	2.57	NC_024384.1	k141_597702
21429	27750	84908	78588	6322	6321	93.27	41156	444891	15.36	1.42	NC_024384.1	k141_597702
31108	32527	114796	113378	1420	1419	98.24	41156	444891	3.45	0.32	NC_024384.1	k141_597702
4521	7343	1546	4368	2823	2823	94.55	41941	4368	6.73	64.63	NC_024391.1	k141_636580
14119	15467	2121	3466	1349	1346	96.52	41941	27401	3.22	4.91	NC_024391.1	k141_982663
12487	13654	1371	204	1168	1168	86.24	46237	1371	2.53	85.19	NC_025455.1	k141_1960511
16345	17796	1452	1	1452	1452	88.22	46237	1452	3.14	100.00	NC_025455.1	k141_828557
43916	45289	1392	19	1374	1374	87.69	46237	1392	2.97	98.71	NC_025455.1	k141_2134172
2689	3864	199	1376	1176	1178	85.93	46547	1383	2.53	85.18	NC_025456.1	k141_959928
7684	8889	1733	527	1206	1207	85.64	46547	2822	2.59	42.77	NC_025456.1	k141_286565
22273	23434	1218	56	1162	1163	87.90	46547	1218	2.50	95.48	NC_025456.1	k141_2197697
23718	25402	1685	1	1685	1685	82.24	46547	1689	3.62	99.76	NC_025456.1	k141_1627913
27111	28546	6	1441	1436	1436	83.00	46547	1441	3.09	99.65	NC_025456.1	k141_428746
31720	33195	1	1476	1476	1476	85.13	46547	1476	3.17	100.00	NC_025456.1	k141_587785
39396	40569	1	1174	1174	1174	88.25	46547	2089	2.52	56.20	NC_025456.1	k141_2059552
16037	27838	925	12725	11802	11801	98.58	42600	23225	27.70	50.81	NC_025460.1	k141_1058942
5519	6802	1	1284	1284	1284	84.14	45871	1748	2.80	73.46	NC_025461.1	k141_465695
5558	6846	2341	1053	1289	1289	83.10	45871	2341	2.81	55.06	NC_025461.1	k141_699857
23390	24514	20	1123	1125	1104	89.69	45871	1123	2.45	98.31	NC_025461.1	k141_672627
25458	28126	2666	1	2669	2666	89.29	45871	3498	5.82	76.21	NC_025461.1	k141_352672
26288	27435	1	1145	1148	1145	84.97	45871	2275	2.50	50.33	NC_025461.1	k141_791525
32793	34389	944	2540	1597	1597	80.80	45871	2700	3.48	59.15	NC_025461.1	k141_1033086
37480	42107	809	5437	4628	4629	82.82	45871	5903	10.09	78.42	NC_025461.1	k141_7351
5466	6524	1063	5	1059	1059	86.72	44147	1721	2.40	61.53	NC_025464.1	k141_1948043
8605	9651	49	1095	1047	1047	89.41	44147	1098	2.37	95.36	NC_025464.1	k141_106593
10408	11661	1254	1	1254	1254	89.55	44147	2289	2.84	54.78	NC_025464.1	k141_201868
11281	12829	1638	3183	1549	1546	85.81	44147	3493	3.51	44.26	NC_025464.1	k141_1235061
11359	12785	512	1935	1427	1424	83.47	44147	1936	3.23	73.55	NC_025464.1	k141_201478
12933	14302	54	1403	1370	1350	83.26	44147	4179	3.10	32.30	NC_025464.1	k141_904155
16226	17669	1444	1	1444	1444	90.03	40161	3832	3.60	37.68	NC_025466.1	k141_619891
17220	18301	1082	1	1082	1082	89.46	40161	1085	2.69	99.72	NC_025466.1	k141_1941109
18177	19789	231	1843	1613	1613	91.26	40161	3256	4.02	49.54	NC_025466.1	k141_1574889
18656	19716	1064	4	1061	1061	90.77	40161	1064	2.64	99.72	NC_025466.1	k141_1838198
20037	21196	2096	3256	1160	1161	92.18	40161	3256	2.89	35.66	NC_025466.1	k141_1574889
21126	23116	1991	1	1991	1991	97.19	40161	1991	4.96	100.00	NC_025466.1	k141_1154351
25395	27826	1	2432	2432	2432	94.53	40161	2689	6.06	90.44	NC_025466.1	k141_1138634
31239	32341	1	1102	1103	1102	94.92	40161	1102	2.75	100.00	NC_025466.1	k141_248474
35599	36750	1	1152	1152	1152	97.22	40161	1287	2.87	89.51	NC_025466.1	k141_1491818
10920	12229	60947	62257	1310	1311	82.27	139004	62983	0.94	2.08	NC_025470.1	k141_2123137
53359	55182	2753	4574	1824	1822	90.52	139004	19957	1.31	9.13	NC_025470.1	k141_102185
53491	55173	1680	1	1683	1680	86.54	139004	2298	1.21	73.11	NC_025470.1	k141_2027539
74997	76502	1369	2880	1506	1512	95.77	139004	4877	1.08	31.00	NC_025470.1	k141_927408
117528	119494	32229	34193	1967	1965	82.56	139004	62983	1.42	3.12	NC_025470.1	k141_2123137
2089	3117	7841	6813	1029	1029	91.00	35814	11076	2.87	9.29	NC_026014.1	k141_2437011
4978	9874	5572	676	4897	4897	96.80	35814	11076	13.67	44.21	NC_026014.1	k141_2437011
27594	29519	6557	4633	1926	1925	94.81	35814	7909	5.38	24.34	NC_026014.1	k141_744930
29914	33600	4238	555	3687	3684	96.45	35814	7909	10.29	46.58	NC_026014.1	k141_744930
38084	40547	1305	3767	2464	2463	98.58	43748	4978	5.63	49.48	NC_026016.1	k141_1391786
24684	25773	1090	1	1090	1090	98.99	38389	1090	2.84	100.00	NC_027339.1	k141_51608
25635	27129	3	1499	1495	1497	98.40	38389	7901	3.89	18.95	NC_027339.1	k141_1218412
32061	33111	1	1051	1051	1051	98.19	38389	9334	2.74	11.26	NC_027339.1	k141_373233
35464	37359	137108	139003	1896	1896	95.15	37359	139107	5.08	1.36	NC_027384.1	k141_1375414
6973	9574	10901	8300	2602	2602	93.05	38742	27453	6.72	9.48	NC_027398.1	k141_1599327
4856	11340	105474	111958	6485	6485	97.55	39014	139107	16.62	4.66	NC_027986.1	k141_1375414
1	2057	100782	102838	2057	2057	98.06	39552	139107	5.20	1.48	NC_027992.1	k141_1375414
5234	9163	105317	109246	3930	3930	97.74	39552	139107	9.94	2.83	NC_027992.1	k141_1375414
13315	30740	112502	129915	17426	17414	98.50	39552	139107	44.06	12.52	NC_027992.1	k141_1375414
115339	116624	1334	53	1286	1282	81.30	196300	1453	0.66	88.23	NC_028091.1	k141_1101514
26621	27898	3404	4683	1278	1280	80.75	182309	5202	0.70	24.61	NC_028093.1	k141_2426958
92450	95117	2669	2	2668	2668	80.23	182309	2670	1.46	99.93	NC_028093.1	k141_2463039
93833	95296	1734	271	1464	1464	82.61	182309	2318	0.80	63.16	NC_028093.1	k141_1243416
102593	104091	175	1664	1499	1490	78.91	182309	2086	0.82	71.43	NC_028093.1	k141_2321880
26950	28132	810	1995	1183	1186	91.91	473558	2201	0.25	53.88	NC_028094.1	k141_1096330
264093	265342	325	1574	1250	1250	91.87	473558	1574	0.26	79.42	NC_028094.1	k141_2057522
310751	311796	1281	236	1046	1046	78.67	473558	1283	0.22	81.53	NC_028094.1	k141_165143
1	1395	50606	52000	1395	1395	100.00	65955	94780	2.12	1.47	NC_028656.1	k141_242180
64924	65955	51976	53007	1032	1032	100.00	65955	94780	1.56	1.09	NC_028656.1	k141_242180
4807	7225	42608	45026	2419	2419	95.83	60919	54365	3.97	4.45	NC_028657.1	k141_2490027
22507	25068	241	2801	2562	2561	97.66	60919	56476	4.21	4.53	NC_028657.1	k141_1670041
29065	32170	9294	12399	3106	3106	96.39	60919	56476	5.10	5.50	NC_028657.1	k141_1670041
41671	42785	19974	21088	1115	1115	94.35	60919	56476	1.83	1.97	NC_028657.1	k141_1670041
2382	3821	103452	104891	1440	1440	98.40	39593	139107	3.64	1.04	NC_028667.1	k141_1375414
30746	38226	130109	137579	7481	7471	94.64	39593	139107	18.89	5.37	NC_028667.1	k141_1375414
