acc	genome_len	SERC_517_3	SERC_517_4	SERC_517_5	SERC_517_6	SERC_517_7	SERC_517_8	SERC_517_9	SERC_517_10	SERC_517_11	SERC_517_12	SERC_517_13	SERC_Zymo_Pos_Control	Exp Mean
NC_018465.1	6966	0.228107591	0.214039762	0.091157048	0.169968408	0.179012349	0.160637479	0.083835709	0.146712606	0.089147286	0.176141341	0.169394149	0.028423758	0.155286703
NC_018466.1	4330	0.15704378	0.17274772	0.09630486	0.169053246	0.189607421	0.132332529	0.093995328	0.139030041	0.089376397	0.166281957	0.193995318	0.032332565	0.145433509
NC_018467.1	4314	0.164580416	0.124014866	0.080204033	0.127260076	0.10894764	0.138386599	0.07209078	0.089707857	0.089476187	0.121928674	0.149049637	0.0143718	0.115058797
NC_018476.1	6895	0.178970233	0.177954791	0.118926668	0.173894043	0.152429272	0.183901804	0.070340783	0.157795464	0.108194406	0.1514141	0.177954869	0.020014503	0.150161494
NC_018477.1	860	0.1662789	0.0918605	0.0732558	0.25813904	0.16279035	0.07093027	0.044186	0.03255812	0.0906977	0.04767439	0.0674418	0.022093	0.100528443
NC_018478.1	4417	0.183155842	0.178627936	0.06678733	0.140140382	0.16323294	0.16844016	0.09101196	0.139913938	0.060901114	0.152139204	0.164364984	0	0.137155981
NC_021298.1	51252	0.237610041	0.173339115	0.098376693	0.122180592	0.146043021	0.124873151	0.065968202	0.127292661	0.059997625	0.164949821	0.134492299	0.020369937	0.132283929
NC_021304.1	51552	0.228894833	0.17407689	0.085001592	0.116775346	0.140110951	0.114583326	0.06056022	0.119975989	0.054217113	0.147753348	0.125019336	0.020619961	0.124269904
NC_021339.1	51077	0.266224995	0.211562797	0.102668522	0.136049574	0.167276747	0.142451577	0.072361331	0.144664001	0.071578173	0.205571732	0.15533431	0.018618947	0.152340342
NC_022744.1	39860	0.067185195	0.056573047	0.032990512	0.049021613	0.047140006	0.047014558	0.020973372	0.041219252	0.026693373	0.048996485	0.043251379	0.005995983	0.043732617
NC_022745.1	9359	0.136659946	0.090928544	0.050112209	0.091462855	0.07746557	0.096377813	0.03493959	0.07073401	0.038572456	0.07201624	0.093065499	0.00812052	0.077484976
NC_022746.1	42957	0.127453018	0.101496931	0.050841581	0.069511357	0.073538567	0.060455827	0.030332635	0.058896144	0.031426803	0.074725872	0.066415228	0.016411755	0.067735815
NC_022747.1	34145	0.120983962	0.120779097	0.060946007	0.102123285	0.092985836	0.080158162	0.031600475	0.077873722	0.046653992	0.083116166	0.073304971	0.013413378	0.08095688
NC_022748.1	5280	0.166287916	0.121022738	0.092613664	0.137121208	0.128030234	0.109090894	0.070075848	0.09772718	0.078409106	0.116098476	0.12310594	0.010984834	0.112689382
NC_022749.1	39758	0.128628142	0.102646042	0.05850397	0.105312151	0.087227714	0.082423653	0.035640633	0.079833028	0.043412596	0.086699479	0.09052267	0.093314578	0.081895462
NC_022751.1	42480	0.062311694	0.049788168	0.023210919	0.061793756	0.054166649	0.044491559	0.022481191	0.044067823	0.023234446	0.048893613	0.057580008	0.005743876	0.044729075
NC_022752.1	42665	0.086065825	0.077768634	0.038626464	0.053181712	0.052056678	0.050462882	0.01971173	0.052736476	0.027493238	0.054822478	0.05245515	0.013828665	0.051398297
NC_022753.1	52282	0.202631399	0.162981573	0.084828412	0.115221343	0.130197778	0.104682262	0.060269325	0.111491546	0.051298694	0.143892826	0.123465088	0.013044645	0.117360023
NC_022776.1	41757	0.139569349	0.124793361	0.058169921	0.126709235	0.109466638	0.118279581	0.049931732	0.105802699	0.062097326	0.10101297	0.114831078	0.013027763	0.100969444
NC_022788.1	2020	0.0851485	0.0881188	0.0282178	0.14702975	0.08564354	0.0658416	0.02821784	0.0282178	0.03316835	0.13613864	0.069802	0	0.072322238
NC_022789.1	2282	0.147239256	0.1134969	0.0587204	0.09991236	0.09772127	0.052585494	0.02716913	0.07975457	0.05565289	0.060473324	0.125766818	0.008764242	0.08349931
NC_022791.1	37375	0.122247488	0.101217456	0.046046823	0.094127083	0.079812709	0.087250811	0.041311035	0.078715769	0.052414756	0.087491703	0.091638781	0.015732438	0.080206765
NC_022564.1	4945	0.237208811	0.159352834	0.09666325	0.174924198	0.141557149	0.140950452	0.077856404	0.153892905	0.10010117	0.144792748	0.148634853	0.016380167	0.143266798
NC_021773.2	43458	0.095080358	0.086911522	0.043927435	0.086566384	0.084794466	0.069009161	0.041465307	0.075728324	0.039371332	0.071448357	0.086244174	0.272332039	0.070958802
NC_022800.1	5479	0.156598005	0.13232341	0.067895575	0.155137815	0.12502282	0.127943135	0.069720785	0.119547385	0.065340405	0.125935395	0.121920005	0.014601215	0.115216794
NC_022892.1	7228	0.22260636	0.171831797	0.107913667	0.211123446	0.199086922	0.171970255	0.099059212	0.159933589	0.083702215	0.148312045	0.18400666	0.01895407	0.159958743
NC_022894.1	7838	0.153227826	0.102704827	0.050523084	0.08662924	0.09645313	0.080760337	0.03967848	0.098749668	0.036488875	0.100535807	0.088798142	0	0.084959038
NC_022896.1	14581	0.113160993	0.086893954	0.036417299	0.088745611	0.078595418	0.067690825	0.032370882	0.07256018	0.039229108	0.069748356	0.069748336	0.011178945	0.068650997
NC_022915.1	40471	0.265399908	0.233475343	0.117862195	0.160905363	0.186306572	0.172420143	0.088186583	0.181735497	0.074300175	0.192211853	0.157248391	0.02152159	0.166368366
NC_022917.1	44578	0.285005804	0.23060722	0.119363856	0.179056868	0.187020096	0.143591016	0.078603812	0.15902442	0.070258903	0.193346032	0.161043209	0.018619053	0.164265567
NC_022519.1	5722	0.131422606	0.143306624	0.060118886	0.141733576	0.13439362	0.098741658	0.041069514	0.117092002	0.067633704	0.10765468	0.11481998	0.017126894	0.105271532
NC_022914.1	43394	0.22823457	0.191985197	0.110245619	0.204428905	0.197239684	0.191685546	0.103908384	0.176499326	0.107111676	0.176659968	0.199543337	0.029404987	0.171594746
NC_022916.1	41604	0.253917762	0.208609868	0.108691452	0.157485367	0.16334974	0.160417494	0.083958272	0.157388199	0.069632721	0.194307801	0.158493881	0.019901936	0.15602296
NC_022961.1	8424	0.061728362	0.076923124	0.032644777	0.056030358	0.071818555	0.05223174	0.023148138	0.049738818	0.02350429	0.071937272	0.065764488	0.009971512	0.053224538
NC_018668.1	7583	0.12923649	0.128840792	0.074904346	0.133324542	0.136093886	0.0989055	0.04615583	0.098246106	0.072530618	0.11222479	0.12158776	0.024924154	0.104731878
NC_020415.1	3971	0.144799732	0.08914628	0.0392848	0.089146396	0.081591501	0.04885413	0.03978849	0.1002266	0.03072277	0.120120916	0.065222796	0.010828504	0.077173128
NC_022966.1	88135	0.071889676	0.059499609	0.028592454	0.04717762	0.04465879	0.040097533	0.017552622	0.03995008	0.022760565	0.05127363	0.043671684	0.010359101	0.042465842
NC_022967.1	92495	0.039267026	0.033255806	0.011914158	0.028693417	0.029017754	0.027471715	0.010443809	0.025644627	0.014573722	0.024466228	0.029925912	0.006346287	0.02497038
NC_022974.1	88255	0.073797561	0.061673562	0.028055027	0.049232346	0.048416555	0.042320523	0.020826014	0.041380111	0.022083759	0.048575194	0.05177049	0.009257262	0.044375558
NC_022990.1	17276	0.287508178	0.268349183	0.141583748	0.248610866	0.24519578	0.265976069	0.144419975	0.226267868	0.130933138	0.226615378	0.271879651	0.033746281	0.22339453
NC_015294.2	93198	0.0611172	0.050591207	0.021717222	0.043252015	0.041846402	0.045097537	0.016727791	0.037468621	0.021298761	0.044593197	0.038777621	0.008315632	0.038407961
NC_022750.1	33628	0.13188416	0.127393867	0.085464432	0.14199479	0.089122171	0.083977592	0.038896178	0.067443776	0.080230776	0.080795844	0.094742477	0.055370507	0.092904188
NC_022989.1	31080	0.09999999	0.09372585	0.047940843	0.087451777	0.078796692	0.084942058	0.03645436	0.080727192	0.044208505	0.07525737	0.081402829	0.010102961	0.073718861
NC_009232.2	42572	0.066475662	0.058724	0.034623702	0.050643598	0.051865093	0.038851809	0.022925872	0.039979296	0.018556841	0.052170399	0.036784708	0.011556897	0.042872816
NC_023008.1	5084	0.10011798	0.09638075	0.05173091	0.090479969	0.082808852	0.089299712	0.053304467	0.093036945	0.045633316	0.078874822	0.072777316	0.00747442	0.077676822
NC_023009.1	127188	0.094340633	0.078136317	0.036033301	0.079111295	0.082185394	0.079315676	0.038486375	0.071555476	0.042928597	0.078380094	0.076320137	0.020615154	0.06879939
NC_023016.1	6080	0.113486877	0.12500001	0.032072344	0.116940798	0.091447414	0.068092101	0.0536184	0.081249974	0.061842157	0.08601976	0.108717095	0.007401316	0.085316994
NC_023017.1	4065	0.13308732	0.11070115	0.05584258	0.090774949	0.06715865	0.094464942	0.0538745	0.074784697	0.05215249	0.11365314	0.103813045	0.00467405	0.086391588
NC_008574.2	9004	0.182696686	0.151710428	0.079409145	0.136939113	0.109951116	0.11072854	0.055641971	0.10117725	0.041314994	0.11916922	0.119613484	0.00855176	0.109850177
NC_020081.2	149844	0.122213752	0.107378367	0.052180936	0.10675107	0.103467638	0.094698504	0.047189035	0.086249682	0.049684975	0.090881101	0.101945991	0.013300503	0.087512823
NC_016959.1	11688	0.096167022	0.070414063	0.033110855	0.092744723	0.074863098	0.060746111	0.048682376	0.059120507	0.020191618	0.077515363	0.0579227	0.008470226	0.062861676
NC_022553.1	3952	0.155870406	0.162449465	0.08552633	0.175101163	0.176366378	0.160678105	0.081730719	0.13183197	0.08957492	0.108046638	0.137145727	0.010121453	0.133120166
NC_022554.1	2963	0.174822828	0.113398496	0.05838672	0.130948348	0.144447952	0.124198416	0.058724314	0.097536296	0.070874158	0.080323996	0.171448262	0.007424912	0.111373617
NC_022555.1	2765	0.140687154	0.135985558	0.09077759	0.134177251	0.131283858	0.14249548	0.111392387	0.141772225	0.09403255	0.123327307	0.124773924	0.02748642	0.124609571
NC_022556.1	1747	0.10875789	0.1224956	0.066972	0.1717231	0.10875783	0.0772754	0.0492272	0.1219232	0.1110475	0.0990269	0.11734411	0.0108758	0.104959157
NC_022557.1	1125	0.11822221	0.1244444	0.0515556	0.1395558	0.08000003	0.1413334	0.0693333	0.1368889	0.0346667	0.113777789	0.0924445	0.0168889	0.100202057
NC_022558.1	1034	0.1885879	0.09187617	0.0938104	0.215667358	0.141199148	0.1470023	0.0764023	0.173114058	0.073501	0.1673116	0.23114144	0.0386847	0.145419425
NC_022559.1	831	0.17208191	0.15403143	0.04693144	0.14079424	0.08664264	0.19374272	0.07220221	0.0926594	0.05174486	0.161251	0.14199755	0	0.119461764
NC_022560.1	1978	0.18099066	0.13447956	0.03943376	0.14661265	0.11880692	0.104651081	0.05965616	0.09150654	0.04954492	0.088978691	0.11324561	0.051567201	0.102536959
NC_022561.1	1627	0.09157954	0.136447438	0.0491703	0.141364488	0.09649666	0.153657278	0.03872161	0.09834054	0.07744318	0.07805772	0.16594922	0.036263	0.10247527
NC_022562.1	1158	0.1571676	0.1986184	0.0492228	0.14248662	0.082038	0.1174436	0.066494	0.0854922	0.066494	0.210708158	0.1157168	0.0164076	0.117443834
NC_022595.1	6920	0.201445103	0.198843888	0.118641536	0.211272159	0.184248595	0.177456566	0.099421956	0.186850074	0.089017252	0.195086709	0.211994078	0.01141617	0.170388901
NC_022596.1	4326	0.266065368	0.186084202	0.122283812	0.223763412	0.22006416	0.195561605	0.107027261	0.168978225	0.11326861	0.197410615	0.231391945	0.00924642	0.18471811
NC_022597.1	812	0.17487675	0.15640383	0.19458129	0.09482765	0.19704432	0.20320204	0.08004931	0.18103452	0.12684728	0.18965511	0.15517241	0.0615764	0.159426774
NC_023020.1	5805	0.197760623	0.171920778	0.085443582	0.158311886	0.144875074	0.142463308	0.086821746	0.155038683	0.084926821	0.180017708	0.155383293	0.0134367	0.142087591
NC_023023.1	2753	0.0690157	0.0537595	0.03123868	0.06320376	0.02905918	0.0424991	0.0217944	0.0428623	0.0217944	0.04976386	0.05702866	0	0.043819958
NC_022072.1	18643	0.101485794	0.060183418	0.035992027	0.067853921	0.073110593	0.052352135	0.024459585	0.053049438	0.029501688	0.052995748	0.070374941	0.010620617	0.056487208
NC_022919.1	1127	0.0851819	0.09228035	0.05057675	0.09228037	0.09671694	0.0532387	0.0354925	0.0346051	0.0177462	0.0709849	0.03815446	0.0168589	0.060659834
NC_002306.3	29355	0.128972858	0.110645486	0.044694226	0.109146647	0.10952139	0.112553233	0.043876665	0.08489193	0.049463429	0.090717067	0.104139022	0.00432635	0.089874723
NC_007447.1	28475	0.156523331	0.131308132	0.067954306	0.124319545	0.122739259	0.119508304	0.068762122	0.109569818	0.073854212	0.117752392	0.146970946	0.014363464	0.112660215
NC_010800.1	27657	0.149184642	0.123729892	0.06012944	0.124019118	0.11884875	0.121524325	0.058213102	0.104964406	0.067541638	0.110134931	0.121777572	0.018404016	0.105460711
NC_018871.1	28494	0.154137644	0.116445573	0.059626623	0.121850159	0.113708221	0.119919974	0.051730221	0.094897154	0.066575442	0.106443471	0.116164819	0.012423665	0.101954482
NC_021331.1	51821	0.170510229	0.154493302	0.07178559	0.139711672	0.12716856	0.127419377	0.058759944	0.120819769	0.072460932	0.122517858	0.136392628	0.018679692	0.11836726
NC_001639.1	14104	0.144427192	0.129892176	0.051120287	0.083309664	0.106778193	0.090258115	0.038357942	0.079551931	0.038428793	0.103871283	0.091037996	0.008579142	0.087003052
NC_015668.1	20128	0.118541329	0.088930841	0.060860453	0.10463033	0.124304429	0.107015067	0.049383918	0.101798518	0.052961099	0.099413734	0.117647091	0.009191181	0.093226074
NC_021344.2	176227	0.115873269	0.098231236	0.044890974	0.096307555	0.088385969	0.079034397	0.037542488	0.075204054	0.042831121	0.079862994	0.08086156	0.011661085	0.076275056
NC_001575.2	4449	0.132164559	0.070577709	0.05214652	0.073949189	0.07147671	0.05371999	0.04315572	0.05866492	0.03034394	0.087660109	0.07889408	0.008990779	0.068432131
NC_002568.2	4148	0.1222276	0.08630664	0.03423336	0.07618124	0.06147536	0.08534228	0.0279653	0.04580524	0.02362588	0.06991322	0.09281582	0.0096432	0.065990176
NC_003747.2	4212	0.081671394	0.080246917	0.0367996	0.07288703	0.0612536	0.04178542	0.00474834	0.0581671	0.03632482	0.08024693	0.06433996	0.0140076	0.056224646
NC_004060.2	4132	0.120764794	0.090271082	0.058083277	0.07817037	0.06897385	0.063407487	0.0147628	0.0517909	0.03775407	0.074782214	0.0609874	0.004840274	0.065431659
NC_004553.3	4086	0.09593732	0.053352933	0.03132646	0.04870289	0.070974038	0.08712677	0.02398436	0.05726868	0.03842386	0.07905046	0.061184538	0.009789518	0.058848392
NC_016033.1	4152	0.078998041	0.08020228	0.00457611	0.06575151	0.041666669	0.04696533	0.03275531	0.0510597	0.01396917	0.06093448	0.06551056	0.009393068	0.049308105
NC_017914.1	4138	0.091590176	0.122522932	0.07129045	0.064282233	0.090865183	0.052440768	0.052924138	0.06887387	0.048574181	0.080956941	0.079265294	0.029241144	0.07487147
NC_018449.1	4145	0.110735844	0.094089288	0.05090468	0.072858895	0.065621288	0.082026563	0.03256938	0.082991468	0.038118194	0.095536804	0.073823935	0.00458384	0.072661485
NC_022755.1	10692	0.138234218	0.084175106	0.043116374	0.083613895	0.090254357	0.085671509	0.039375225	0.08183689	0.046202738	0.06883648	0.078657016	0.00533109	0.076361255
NC_017985.1	40128	0.067932563	0.06820667	0.030327954	0.046252003	0.051709529	0.045130565	0.024521494	0.04550438	0.022851845	0.035361792	0.046899937	0.232655501	0.044063521
NC_022612.1	42940	0.107056348	0.090521646	0.054704226	0.084350254	0.079413077	0.081951496	0.035048922	0.081159744	0.045784848	0.080437889	0.085794166	0.010852355	0.075111147
NC_022613.1	43686	0.125005772	0.101016339	0.043125935	0.085382045	0.075172828	0.084878487	0.038296017	0.07812577	0.037655107	0.08352796	0.078972659	0.01066704	0.075559902
NC_022620.1	2702	0.13064393	0.15321994	0.083271596	0.180606906	0.137305646	0.109178348	0.0447816	0.089193206	0.05588453	0.11139894	0.126572952	0.01406366	0.111096145
NC_022621.1	1997	0.121181721	0.07511267	0.0460691	0.131196772	0.121181711	0.12368546	0.0595893	0.12618928	0.0405608	0.09764646	0.10365547	0.00951427	0.095097159
NC_022622.1	1069	0.18521988	0.1440596	0.0533209	0.129092588	0.144995314	0.1122544	0.0710945	0.09915812	0.0533208	0.06922367	0.1898975	0	0.113785207
NC_022623.1	1179	0.05089055	0.11704835	0.0330789	0.0653096	0.1509755	0.118744676	0	0.0678541	0.0330789	0.0822731	0.091603	0	0.073714243
NC_022624.1	1690	0.1426035	0.14142003	0.056804716	0.093491132	0.109467456	0.17869803	0.099999946	0.118343216	0.09585803	0.112426116	0.226626816	0.0260355	0.125067181
NC_022625.1	811	0.1504316	0.1196054	0.0493218	0.1319358	0.1245376	0.1381011	0.06165226	0.0949445	0.10111	0.1208384	0.0776819	0.02712704	0.106378215
NC_022626.1	4034	0.173029033	0.131631033	0.08329199	0.155676763	0.127664924	0.152206654	0.068914205	0.106098219	0.083787762	0.103619229	0.160386783	0.00941993	0.122391509
NC_022627.1	2855	0.168125801	0.12224163	0.07495618	0.07180387	0.105779353	0.12644486	0.077057743	0.09562175	0.06760068	0.06304728	0.147110005	0	0.101799014
NC_022628.1	1682	0.15873954	0.18965494	0.0457788	0.1200956	0.12960758	0.14565997	0.06718193	0.13198573	0.0457788	0.14387627	0.16646847	0	0.122257057
NC_022629.1	1925	0.15428565	0.22077966	0.08727274	0.16311684	0.16207797	0.16415586	0.11168838	0.15636356	0.11272724	0.14857145	0.135065	0.03324674	0.146918577
NC_022611.1	9271	0.140222155	0.123287676	0.049940715	0.121885522	0.108186811	0.097400537	0.071297569	0.112501256	0.054255149	0.114227212	0.117031603	0.010570593	0.100930564
NC_022633.1	3662	0.155106549	0.101583849	0.0425996	0.108683764	0.09311852	0.113326059	0.06963406	0.132714329	0.0559803	0.104041465	0.101856834	0.00518842	0.098058666
NC_022634.1	2776	0.117435161	0.144812621	0.04250725	0.07672911	0.08465419	0.106628231	0.04178678	0.07817002	0.057276613	0.098343	0.10302597	0.015489915	0.086488086
NC_022635.1	1814	0.1675854	0.05788317	0.0325248	0.0948181	0.12679173	0.08985671	0.01488423	0.08985665	0.042998868	0.07662624	0.09040793	0.01212794	0.080384893
NC_022636.1	1162	0.193631915	0.13855428	0.0843374	0.09466437	0.07573148	0.1170395	0.0335628	0.1213425	0.0851979	0.0834767	0.0654045	0	0.099358486
NC_022637.1	1028	0.17315155	0.0768483	0.0768482	0.1352145	0.094358	0.13424124	0.0184825	0.1488327	0.0593385	0.094358	0.097276263	0.0184825	0.100813614
NC_022638.1	809	0.15698397	0.0741657	0.0543881	0.0939432	0.14215078	0.0704574	0.0729296	0.09517929	0.0234858	0.0729296	0.0729296	0	0.084503913
NC_022639.1	3980	0.1010051	0.07814075	0.04422108	0.109547815	0.139447212	0.09221102	0.056030106	0.100502429	0.05678398	0.121608062	0.092964889	0.025628151	0.090223858
NC_022640.1	1977	0.08801215	0.078401657	0.0586748	0.07738997	0.05260497	0.0520991	0.019726857	0.03894794	0.00961052	0.08042492	0.079413267	0.0197269	0.057755105
NC_022641.1	1653	0.12764678	0.103448352	0.03690262	0.072595251	0.096188841	0.13430123	0.0229886	0.115547513	0.07320027	0.138536011	0.134906253	0	0.096023793
NC_022642.1	910	0.1868132	0.1505494	0.0428571	0.2175819	0.1065934	0.1439561	0.10989011	0.1802196	0.09340661	0.20659371	0.0912088	0.0736263	0.139060903
NC_020205.1	42963	0.492167389	0.410074101	0.273118708	0.327421169	0.345785658	0.30074728	0.162511846	0.319833836	0.161091645	0.37343782	0.308102331	0.054162872	0.315844707
NC_019933.2	43870	0.124390215	0.115089969	0.057921148	0.095714648	0.097583745	0.083200383	0.038180985	0.080989238	0.047845875	0.092135839	0.094666093	0.007681792	0.084338013
NC_023154.1	1002	0.142714152	0.158682724	0.0638723	0.188622314	0.125748562	0.155688708	0.0968064	0.116766504	0.1177645	0.075848344	0.15469115	0	0.127018696
NC_023155.1	983	0.0783316	0.079349	0.0590031	0.11495459	0.1597155	0.13733429	0.0386572	0.1139369	0	0.0590031	0.09359106	0	0.084897849
NC_023156.1	988	0.2307695	0.19939295	0.17206474	0.17813763	0.19635634	0.16599187	0.0779353	0.1012146	0.06882592	0.17307657	0.18825867	0.02024295	0.159274917
NC_023158.1	988	0.16093134	0.1376519	0.1740891	0.19230809	0.1244939	0.0587045	0.0779352	0.13259154	0.1396764	0.14271247	0.15283436	0.02024295	0.135811709
NC_023159.1	993	0.11178245	0.20342394	0.08257805	0.1782475	0.10775425	0.1500504	0.0624371	0.11278948	0.1087613	0.10271899	0.13192345	0	0.122951537
NC_023162.1	7697	0.142782976	0.10575545	0.065739889	0.139274999	0.093932642	0.110172787	0.051318682	0.098349969	0.074964288	0.108743664	0.107184534	0.008055084	0.099838171
NC_023176.1	12656	0.111646565	0.116071392	0.040771182	0.100268572	0.092288181	0.08067321	0.041798331	0.085256043	0.042983544	0.081937454	0.085255963	0.004898856	0.079904585
