acc	genome_len	SERC_517_3	SERC_517_4	SERC_517_5	SERC_517_6	SERC_517_7	SERC_517_8	SERC_517_9	SERC_517_10	SERC_517_11	SERC_517_12	SERC_517_13	SERC_Zymo_Pos_Control	Mean Coverage
NC_022748.1	5280	0.705147086	0.591287004	1.295970007	0.941566301	0.777238662	0.875185194	0.630814582	0.663190534	1.311810395	0.872581575	0.666510138	0.624801083	0.848300134
NC_022749.1	39758	0.314986876	0.335991178	0.436276337	0.428647214	0.33204795	0.30895494	0.312025369	0.321565763	0.367568791	0.314360346	0.356495831	4.929396952	0.348083691
NC_022751.1	42480	0.13842622	0.162161993	0.296011374	0.272706352	0.168416624	0.186676156	0.14805354	0.174547453	0.285217046	0.145083714	0.208259574	0.20926444	0.198687277
NC_022752.1	42665	0.192967661	0.210211729	0.192921819	0.138655908	0.142481708	0.187031314	0.141718594	0.160634057	0.142109879	0.163601102	0.155534958	1.042074435	0.166169884
NC_022753.1	52282	0.614947045	0.499715604	0.427275392	0.319237577	0.418184392	0.357965481	0.43813634	0.464026854	0.290070328	0.546180564	0.414889463	0.476815876	0.435511731
NC_022776.1	41757	0.439031314	0.451649091	0.350782453	0.565363464	0.598629157	0.60592641	0.541639549	0.590150641	0.462348563	0.536550749	0.647243172	0.448555141	0.526301324
NC_022788.1	2020	0.143498877	0.163776205	0.070521074	0.43555971	0.167698225	0.12961247	0.291652838	0.0650486	0.128119804	0.274039424	0.139412759	0	0.182630908
NC_022789.1	2282	0.330735581	0.247266694	0.146752189	0.27767941	0.37265762	0.199314505	0.183434958	0.245473775	0.28352542	0.191197471	0.503253707	0.168600614	0.271026485
NC_022791.1	37375	0.365835371	0.363287186	0.290104075	0.330108866	0.401321998	0.316381877	0.380591295	0.414540686	0.355380114	0.366416983	0.375030804	0.440850869	0.359909023
NC_022564.1	4945	0.86687051	0.737010719	0.400271174	0.73305019	0.916057561	0.764816214	0.83710309	1.122547312	0.544708597	0.777384052	0.939661729	0.765348886	0.785407377
NC_021773.2	43458	0.248549911	0.259752952	0.163781815	0.250844545	0.331912184	0.247272566	0.322383278	0.313071791	0.221518558	0.277732854	0.31548154	6.532984998	0.26839109
NC_022800.1	5479	1.429758237	2.439085233	9.279397996	4.889895095	1.663212088	3.506136075	1.611957128	1.499515166	6.268927315	0.99314005	1.746281777	2.746644304	3.211573287
NC_022892.1	7228	0.815298133	0.800232166	0.528670127	1.009149102	1.373161418	0.971401111	1.066394358	1.238088971	0.770288927	1.062091281	1.206839587	0.520505816	0.98560138
NC_022894.1	7838	0.383787886	0.274550586	0.483859052	0.272654287	0.327068683	0.309409719	0.25516343	0.427929476	0.279357127	0.373969782	0.251887254	0	0.330876116
NC_022896.1	14581	0.239712747	0.24348238	0.362423048	0.398207312	0.254163969	0.261673409	0.233212223	0.238412213	0.345526771	0.22706168	0.26162596	0.312641814	0.278681974
NC_022915.1	40471	1.108694158	0.946325617	0.660685357	0.550171841	0.734441566	0.669945581	0.736472258	0.8821976	0.451629352	0.848221832	0.639556752	0.787838518	0.748031083
NC_022917.1	44578	0.993638914	0.859885626	0.731087053	0.613654946	0.670873351	0.568160721	0.560400857	0.666545742	0.534917221	0.776455962	0.604783187	0.717166823	0.689127598
NC_022519.1	5722	1.014115188	0.688128413	0.245898552	0.465495435	0.968652086	0.529703591	0.456547565	0.841800132	0.381175802	0.676020651	0.769304928	0.582026845	0.63971294
NC_022914.1	43394	0.900248652	0.88220749	0.53514928	0.895231291	1.038737547	1.01849245	1.107139929	1.06785737	0.799608185	0.951717204	1.229152608	1.316511519	0.947776546
NC_022916.1	41604	0.879629406	0.743254573	0.647288324	0.463626423	0.67188454	0.589574068	0.793864633	0.682969868	0.426929866	0.835540219	0.60653763	0.621653501	0.667372686
NC_022961.1	8424	0.179687428	0.278207761	0.104428667	0.176346064	0.366415803	0.187954073	0.216862163	0.248337751	0.093782902	0.271633274	0.200461064	0.241412703	0.211283359
NC_018668.1	7583	0.674427126	0.447692355	0.3875803	0.448438663	0.675436595	0.47581543	0.396638305	0.563311777	0.373176262	0.603518054	0.704164149	1.149667906	0.522745365
NC_020415.1	3971	0.541110502	0.217231455	0.13531128	0.242292839	0.354553365	0.17036523	0.255075595	0.606059243	0.150926959	0.446759443	0.354085017	0.34518506	0.315797357
NC_022966.1	88135	0.161470274	0.153829484	0.20610656	0.157318793	0.141380222	0.141766656	0.133338258	0.14655029	0.163628537	0.172449809	0.132013874	0.173420585	0.15544116
NC_022967.1	92495	0.079692741	0.080091597	0.093946772	0.09037846	0.092760829	0.079525653	0.068024199	0.082668809	0.093880624	0.077105633	0.079171379	0.056355342	0.083386063
NC_022974.1	88255	0.179178827	0.184931192	0.165133958	0.156576951	0.155241815	0.148730546	0.159009551	0.153076956	0.157174629	0.177768907	0.164965527	0.205518713	0.163798987
NC_022990.1	17276	1.44247543	1.280336524	0.612206439	1.652842247	1.908526689	1.548295462	1.846270994	1.849749128	1.095247235	1.628585166	1.968531966	1.088986085	1.530278844
NC_015294.2	93198	0.185310673	0.206962652	0.113229215	0.130391463	0.190918458	0.16304972	0.136242087	0.159675307	0.122731899	0.170774057	0.137378917	0.255062155	0.156060404
NC_022750.1	33628	0.516063299	0.371954281	0.471696755	0.565808746	0.309286795	0.269714493	0.296521692	0.306422712	0.645858706	0.336627285	0.413165955	5.750916303	0.409374611
NC_022989.1	31080	0.309554781	0.299435908	0.442782107	0.353969664	0.303676223	0.340832858	0.234782872	0.324905559	0.398543778	0.278479265	0.321502438	0.331460314	0.328042314
NC_009232.2	42572	0.178429441	0.195019961	0.166896887	0.164021736	0.256990036	0.155724819	0.183119244	0.2266677	0.119263522	0.21933371	0.173749304	0.308304311	0.185383305
NC_023008.1	5084	0.241547769	0.339197335	0.260043235	0.42142017	0.438825543	0.505021325	0.516381762	0.451841616	0.37777012	0.429481753	0.436065989	0.368902334	0.401599692
NC_023009.1	127188	0.244983623	0.231600673	0.151408451	0.341024105	0.319973617	0.357188256	0.41145842	0.465303685	0.54337163	0.384226001	0.394354895	0.23619872	0.34953576
NC_023016.1	6080	0.293076439	0.415848719	0.111804879	0.288140745	0.329214935	0.302377227	0.390141214	0.300855406	0.26211768	0.327196536	0.386640783	0.508643921	0.30976496
NC_023017.1	4065	0.331390689	0.416049659	0.284038267	0.315013572	0.250000306	0.28795401	0.378851001	0.23874595	0.224506173	0.364557263	0.331648472	0.50332089	0.311159578
NC_008574.2	9004	0.495722119	0.457733879	0.576634968	0.407507387	0.325961214	0.422159809	0.444240551	0.350239463	0.301045142	0.412850591	0.341823511	0.106390551	0.412356239
NC_020081.2	149844	0.447467067	0.531180852	0.497918887	0.488217088	0.546809607	0.470065321	0.489045872	0.510247988	0.460738099	0.469771306	0.509391874	0.498737493	0.492804906
NC_016959.1	11688	0.262205653	0.217445292	0.164644016	0.272935101	0.232767734	0.177814286	0.283420038	0.232140399	0.141741389	0.232366698	0.15994491	0.169868846	0.216129592
NC_022553.1	3952	0.893252004	0.775113926	0.798064235	1.40572756	1.751155142	1.553715068	1.474389874	1.363189537	1.25458035	1.312677	1.714753515	0.270777211	1.299692564
NC_022554.1	2963	0.37487638	0.274697763	0.242072622	0.408848215	0.440932407	0.439231065	0.432546452	0.257130906	0.427528755	0.329212504	0.654519148	0.30437226	0.38923602
NC_022555.1	2765	0.410203524	0.477195993	1.947814382	0.743970957	0.940867027	0.879163326	1.224218362	0.624455003	1.078854836	0.547080864	0.62482119	0.601220444	0.863513224
NC_022556.1	1747	0.238901788	0.222995467	0.195985117	0.422279365	0.346401547	0.273479446	0.283982156	0.380026647	0.454168551	0.273954456	0.401852988	0.292787553	0.317638866
NC_022557.1	1125	0.184959401	0.36827367	0.171054157	0.292672888	0.15055574	0.365227546	0.358306598	0.391377011	0.118050037	0.397230294	0.376372702	0.075777756	0.288552731
NC_022558.1	1034	0.53508173	0.316959462	0.23444805	0.652632049	0.552844609	0.39921863	0.394838304	0.766924075	0.37543811	0.39408259	0.705029199	0.169232875	0.484317892
NC_022559.1	831	0.477634563	0.431593962	0.571410224	0.999889283	0.887470377	1.272899715	0.363804081	0.640804309	0.782683873	0.573617753	1.235369495	0	0.74883433
NC_022560.1	1978	0.310725891	0.301682012	0.14656394	1.052935203	0.600744662	0.443952817	0.459831909	0.406736931	0.793649378	0.395008271	0.720952584	1.019066351	0.512071236
NC_022561.1	1627	0.232865864	0.409047744	0.245769428	0.468697993	0.27543858	0.437538539	0.193755932	0.272037104	0.533711634	0.296522802	0.464022484	1.83665396	0.34812801
NC_022562.1	1158	0.238892275	0.647472873	0.123016035	0.31517986	0.231586712	0.25580011	0.428425585	0.302586464	0.226431169	0.683019664	0.263886789	0.036809143	0.337845231
NC_022595.1	6920	1.040083771	1.208256495	0.56574371	0.97842996	1.540979881	1.147611205	1.508917464	1.528381536	0.820566514	1.456699337	1.293457264	0.554695423	1.189920649
NC_022596.1	4326	1.336643551	0.816559974	0.859052849	1.096072911	1.229236197	1.042343961	1.352298719	1.278374798	0.884777028	1.05056936	1.330814668	0.487215321	1.116067638
NC_022597.1	812	1.552344413	1.018558908	1.095694289	2.834597041	2.764905989	3.918643872	2.762144693	3.683543516	2.943981828	2.612090595	5.106297313	4.48269658	2.753891132
NC_023020.1	5805	0.942636549	0.660313668	0.398876664	1.157801233	1.337908527	1.397833208	1.31311427	1.395647658	0.913063418	1.399428056	1.58421832	0.33351797	1.136440143
NC_023023.1	2753	0.119053762	0.154985572	0.111659153	0.100418319	0.093567549	0.081913104	0.225261909	0.116810656	0.074216263	0.135097305	0.155979321	0	0.124451174
NC_022072.1	18643	0.226257402	0.20170908	0.275816011	0.224055136	0.260820679	0.196663422	0.209287783	0.24501504	0.178821994	0.204394556	0.251385102	0.485735477	0.224929655
NC_022919.1	1127	0.263606349	0.275715093	0.219536486	0.187419229	0.275529027	0.133961735	0.183420892	0.079772859	0.120862095	0.136438834	0.13468662	0.03782164	0.182813565
NC_002306.3	29355	0.360790228	0.414827137	0.315769499	0.441433553	0.524639537	0.484457841	0.42867643	0.409609448	0.355899446	0.414896032	0.494025231	0.207681655	0.422274944
NC_007447.1	28475	0.59471149	0.607946173	0.401183366	0.59808631	0.940963049	0.638557229	0.851453064	0.814015753	0.604580902	0.807004466	0.83018714	0.497806915	0.698971722
NC_010800.1	27657	0.470984068	0.484984546	0.459224469	0.528509663	0.572319573	0.54747233	0.468728931	0.497853899	0.491025585	0.509344451	0.552555989	0.639679408	0.507545773
NC_018871.1	28494	0.407993961	0.466804872	0.353421666	0.510177832	0.540399632	0.547789005	0.550722208	0.475827074	0.498950086	0.471076722	0.506850314	0.568334746	0.48454667
NC_021331.1	51821	0.481841708	0.48785788	0.586077798	0.602870728	0.573752074	0.586956247	0.505808566	0.543800726	0.590295744	0.531715086	0.598280222	0.712516835	0.553568798
NC_001639.1	14104	0.367423244	0.389988718	0.256224953	0.251949137	0.345884773	0.375873532	0.300641556	0.293874468	0.187599969	0.368907839	0.326409965	0.147769254	0.314979832
NC_015668.1	20128	0.443121319	0.335636522	0.33114471	0.405790338	0.543068165	0.311185724	0.430057883	0.511656393	0.231440584	0.408900806	0.466520352	0.276024973	0.40168389
NC_021344.2	176227	0.328332703	0.375803088	0.283623439	0.309853956	0.337292877	0.272899082	0.29977637	0.334069945	0.272333115	0.313037602	0.30487561	0.380699254	0.311990708
NC_001575.2	4449	0.386054511	0.347303205	0.164588938	0.195490103	0.222473897	0.246562528	0.289234215	0.209330942	0.1775741	0.298529717	0.25409072	0.590984205	0.253748443
NC_002568.2	4148	0.221532496	0.187650241	0.103931162	0.218100337	0.183323074	0.179681534	0.144521336	0.127265651	0.097692732	0.151987203	0.226786364	0.043808354	0.167497466
NC_003747.2	4212	0.13307007	0.177091352	0.091968428	0.150073911	0.132366269	0.097096371	0.024538859	0.157622638	0.139057407	0.18253391	0.173551152	0.03142493	0.13263367
NC_004060.2	4132	0.27638692	0.3614142	0.31511773	0.156362344	0.165245355	0.196565006	0.07629257	0.174621813	0.145046214	0.144202672	0.146459347	0.37164116	0.196155834
NC_004553.3	4086	0.148065014	0.120692621	0.116823559	0.125433844	0.267066828	0.228711543	0.174539388	0.1867429	0.147512542	0.190514742	0.122690274	0.395041847	0.166253932
NC_016033.1	4152	0.140497056	0.217814566	0.022872924	0.138028312	0.108145648	0.152352027	0.192924364	0.117704477	0.063152046	0.170820877	0.159703898	0.513576856	0.134910563
NC_017914.1	4138	0.325835167	1.12899592	0.353917925	0.46915752	0.540212633	0.311276976	0.980998691	0.408902759	0.429570114	0.61522419	0.373581406	0.719976392	0.539788482
NC_018449.1	4145	0.359090158	0.426481339	0.459436892	0.480917403	0.771493174	0.890989437	0.549827907	0.734670752	0.594385276	0.595404916	0.668323457	0.030850413	0.593729156
NC_022755.1	10692	0.361663646	0.313175588	0.352950195	0.507095847	0.464843224	0.400374727	0.413256687	0.408999567	0.41355859	0.33580708	0.387515668	0.015946498	0.39629462
NC_017985.1	40128	0.156430924	0.167544545	0.122473426	0.106067284	0.145202441	0.122585362	0.163041783	0.163149329	0.096571458	0.109065512	0.130502836	10.08966144	0.134784991
NC_022612.1	42940	0.281225374	0.239863176	0.19951438	0.280671836	0.346516897	0.297164498	0.326874055	0.365728616	0.194570979	0.320339551	0.33817151	0.31872348	0.290058261
NC_022613.1	43686	0.326393955	0.298384813	0.153201748	0.242247332	0.244338386	0.29911118	0.291422453	0.311780842	0.174099578	0.303297916	0.294701806	1.173551367	0.267180001
NC_022620.1	2702	0.243937205	0.411369363	0.414369803	0.811899487	0.50474585	0.439221755	0.332794874	0.380081587	0.466305375	0.431792678	0.616475021	0.047326041	0.459363
NC_022621.1	1997	0.250250983	0.282555131	0.120140268	0.39896836	0.473549445	0.467959623	0.714239298	0.595643085	0.274537613	0.576528372	0.492064253	0.448234725	0.422403312
NC_022622.1	1069	0.475932642	0.277659107	0.266515564	0.345778835	0.66925521	0.50950065	0.642964005	0.659869703	0.484194581	0.478272994	0.680077578	0	0.499092806
NC_022623.1	1179	0.080592776	0.237330289	0.203494585	0.101432254	0.32173867	0.423872729	0	0.230718633	0.228174616	0.221715998	0.265962634	0	0.210457562
NC_022624.1	1690	0.490360351	1.471830296	0.225516628	0.633646034	1.922487948	1.35923751	1.756774638	1.393368968	1.013527	1.547332932	1.347264681	0.537624419	1.196486089
NC_022625.1	811	0.326275644	0.295460374	0.12326352	0.294916466	0.34807893	0.318119654	0.369589704	0.218869043	0.344307942	0.327062054	0.18716624	2.659739493	0.286646325
NC_022626.1	4034	0.578576224	0.477688502	0.35127124	0.864330039	1.032834327	0.984909175	0.905724769	0.670597095	0.913367194	0.932452803	1.206575252	0.021132865	0.810756965
NC_022627.1	2855	0.414334485	0.271822876	0.453439215	0.264924427	0.488511024	0.348076593	0.516788362	0.392414118	0.298186473	0.185812487	0.411344781	0	0.367786804
NC_022628.1	1682	1.165586322	0.741713087	0.114408993	0.21652897	0.874819926	0.551052954	0.886405722	1.091626968	0.155890186	0.941614521	0.871575164	0	0.691929347
NC_022629.1	1925	0.593887544	1.046812019	0.923718411	2.572093394	2.384359321	1.567577365	1.426872802	1.275361614	0.724397953	0.544673126	0.606959775	0.518608875	1.242428484
NC_022611.1	9271	0.348597216	0.338082492	0.476327217	0.672099386	0.547034024	0.699002609	0.606477983	0.560207706	0.566385119	0.606313128	0.746252983	0.501992843	0.560616351
NC_022633.1	3662	0.774640805	0.502362277	0.156965759	0.679639878	0.808448247	0.6998227	1.025956142	1.192274079	0.690914832	0.816176302	1.057261075	0.023279622	0.764042009
NC_022634.1	2776	0.305891965	0.476975755	0.122437619	0.308270021	0.382609401	0.398255231	0.322061911	0.355417473	0.384567098	0.428591066	0.431684611	1.195251727	0.356069287
NC_022635.1	1814	0.256599917	0.122719509	0.081284953	0.214899593	0.4921436	0.265485524	0.378902162	0.320241584	0.145485082	0.245823065	0.422793907	0.446457977	0.267852627
NC_022636.1	1162	0.494771412	0.431049634	0.462410579	0.232563886	0.262674904	0.629898006	0.173448762	0.384866464	0.465956139	0.256387884	0.261259588	0	0.368662478
NC_022637.1	1028	0.423543758	0.175946708	0.192056675	0.350504845	0.362132871	0.548411419	0.095515359	0.726551432	0.314691152	0.284198905	0.265200485	0.041463996	0.339886692
NC_022638.1	809	0.379861442	0.187269026	0.176084757	0.182378752	0.51577612	0.134649245	0.504651182	0.611213928	0.239927692	0.472798927	0.483885187	0	0.35349966
NC_022639.1	3980	0.205498507	0.242764592	0.361060685	0.656945291	0.756044327	0.441755884	0.583659218	0.599186321	0.778168548	0.577590491	0.632800469	1.174413677	0.530497667
NC_022640.1	1977	0.509823886	0.432030106	0.195938806	0.198752686	0.360539874	0.099565331	0.249637271	0.200556271	0.032726606	0.315972014	0.391976323	0.088511276	0.271592652
NC_022641.1	1653	0.341257982	0.348838473	0.184451591	0.326028658	0.51499507	0.621995167	0.297004806	0.695195219	0.360511595	0.619182518	0.931571734	0	0.476457528
NC_022642.1	910	0.408413338	0.462928067	0.107107195	0.503477166	0.224902977	0.594323128	0.934194346	0.803031049	0.75777047	0.582961155	0.550892814	4.622432173	0.539091064
NC_020205.1	42963	2.375936101	2.000242546	1.432703841	1.118868999	1.410355384	1.217624333	1.268484899	1.636031028	0.982043553	1.818781845	1.371951695	2.237989795	1.512093111
NC_019933.2	43870	0.325203198	0.341639893	0.307738884	0.352465333	0.312768547	0.303171235	0.302745861	0.323820072	0.296672363	0.329671906	0.351102696	0.19148593	0.322454544
NC_023154.1	1002	0.714820294	0.556193547	0.431493056	0.792824517	2.340107814	1.622124502	0.912889621	1.136511135	0.941382433	0.723178583	1.229850212	0	1.036488701
NC_023155.1	983	0.094214997	0.21388178	0.147458532	0.18169521	0.411017745	0.261484743	0.199775766	0.325968587	0	0.262013222	0.278356795	0	0.215987943
NC_023156.1	988	0.668341193	1.407448854	0.94604128	1.487862606	1.592892682	0.934260041	1.396583933	0.720968022	1.382106375	0.865715102	0.897554448	1.340829711	1.118161321
NC_023158.1	988	0.351822595	0.356751905	0.62732149	0.429145791	0.286613538	0.222442867	0.402760161	0.404815378	0.799622641	0.784979873	0.741897483	2.418261884	0.491652157
NC_023159.1	993	0.973844531	0.421898947	0.494548325	0.871174394	0.410432118	0.744799376	0.39552785	0.800911103	0.600126552	0.375512509	0.630555146	0	0.610848259
NC_023162.1	7697	0.56747586	0.514371018	0.401321488	0.516354486	0.5037163	0.429662751	0.400834938	0.5420902	0.384018618	0.510549148	0.508591811	0.029583886	0.479907874
NC_023176.1	12656	0.346214725	0.345072527	0.598923527	0.424169317	0.378209066	0.399172337	0.296246805	0.404089378	0.556157826	0.349000047	0.353260769	0.119828714	0.404592393
